logFC	logCPM	LR	PValue	FDR
EIF1AY	-9.48882765745148	5.65880661917357	311.90124053514	8.41504139476478e-70	1.10514738637446e-65
ZNF117	-7.26586532930527	5.73694103264061	287.47882321767	1.76159494438334e-64	1.15675132022932e-60
COMT	-5.68255299442514	6.0112507810347	284.322105705705	8.58538316520931e-64	3.7583945702898e-60
ZNF680	-7.55588822477081	5.39454417307626	212.654229315146	3.62080461681214e-48	1.18880067581485e-44
ZNF138	-9.77975860438329	5.13040439056253	208.469601108037	2.96320126838716e-47	7.78314445154572e-44
TRIM4	-10.4616215751011	3.71256235484178	111.185200551797	5.38933464769165e-26	1.17963553213557e-22
C11orf74	4.06396772515817	4.86295218345774	108.60672215916	1.97902364002066e-25	3.40873683295515e-22
ZNF107	-7.41261432236146	4.11922559494398	108.511480864884	2.07644062008994e-25	3.40873683295515e-22
ZFP28	-7.57506135142773	3.78059228573122	96.1736302006941	1.05237287558839e-22	1.53055828017938e-19
ZNF273	-7.56262133732059	3.76881027870635	95.8356828392203	1.24825471163847e-22	1.53055828017938e-19
TXNRD2	-6.22114314433526	4.09744510351767	95.7829159710202	1.2819722136582e-22	1.53055828017938e-19
KHDRBS2	8.24039141273117	3.14505665426972	92.39522493981	7.09851649011354e-22	7.76873475538843e-19
HIST1H2BB	5.69431778024028	5.94545149790395	78.4533245455868	8.19109433232893e-19	8.27489552819045e-16
CTSF	7.25986599928375	2.94140065214653	76.8094969683378	1.88270066585435e-18	1.76610770319037e-15
ZNF667	-6.55708926894599	3.28827648257389	73.0575113131569	1.25926443336257e-17	1.10252798689004e-14
ZNF248	6.67833548462872	3.23929098827973	63.9498227566771	1.27628792008425e-15	1.04759307840416e-12
ZNF596	-8.86316288763942	2.19637634217291	61.8284180438163	3.74727065023197e-15	2.89487679114685e-12
ZNF471	-9.25631509716308	2.54696795292662	60.5119761596592	7.31321854733806e-15	5.33580551012171e-12
FST	-2.59724645819446	5.49949092818398	58.2485653766295	2.31005375349306e-14	1.5967334707697e-11
ZNF562	-4.56760009399236	4.54301668291181	53.8209127455694	2.1962256055654e-13	1.44215154389452e-10
TBX1	6.25513512320722	3.18403355058644	51.9852317357038	5.59196373253283e-13	3.49710760473112e-10
