logFC	logCPM	LR	PValue	FDR
ZNF117	-7.20774841625451	6.22672196849929	381.431780912744	6.07073904559276e-85	8.648981918256e-81
ZNF138	-9.56109508223918	5.69798371007595	239.25709202783	5.71075656157162e-54	4.06805743663554e-50
AJAP1	11.2670138238903	5.13537634805271	194.47470623554	3.35472900482102e-44	1.5931608043895e-40
ZNF680	-6.87927315935993	4.48968000053506	189.759021884293	3.58865352566081e-43	1.27818866950224e-39
TRIM4	-9.78020430041957	4.01496152982289	176.549838193241	2.74644018639285e-40	7.82570666710778e-37
SHISA6	9.70452802411393	4.95491774171611	172.653219753417	1.94850900845082e-39	4.62673464056646e-36
ZFP28	-7.25656910923784	4.72460553824778	160.306695772068	9.69704461799145e-37	1.97362563817892e-33
ZNF667	-9.45844118133207	4.60557996870573	126.569668098523	2.30757076842578e-29	4.10949509222026e-26
ZNF273	-8.87709523474456	3.15732319946485	112.887357796468	2.28388203583431e-26	3.61538526272572e-23
EIF1AY	-9.54879477180386	4.61263538252662	105.36051029483	1.01818932867386e-24	1.45061433656165e-21
COMT	-5.70033577749159	5.29177353253605	104.813181049178	1.34211580736202e-24	1.60770650016596e-21
ZNF596	-11.747069964434	3.18783756951299	104.795503463362	1.35414318817937e-24	1.60770650016596e-21
ZNF471	-9.84224372683082	4.12578552132879	104.572999510112	1.5150739345559e-24	1.66040448812446e-21
C11orf74	3.43545786191797	5.20739280318461	97.6965638210076	4.87667919278991e-23	4.96271774711985e-20
ZNF107	-9.5811629627853	3.05701029826164	97.0905603069216	6.62278868853006e-23	6.29032469636585e-20
TBX1	6.24175581265399	2.9617195009819	96.4287355524909	9.25146182081409e-23	8.23784853507114e-20
KHDRBS2	9.03504879732888	4.70978114562144	95.4827064667757	1.49188855193085e-22	1.25029036466817e-19
TXNRD2	-4.67370613363031	4.19726947715127	91.0439752585786	1.40514342605872e-21	1.11217102172547e-18
UNC5D	6.88786963707051	5.00170837649184	82.3642145705569	1.13184560966353e-19	8.48705494782963e-17
CMPK2	7.40421123297504	1.83620051563858	82.2548449942047	1.19624024528449e-19	8.52141738728407e-17
ZNF562	-5.15330636745327	4.75676510530832	62.9204335166598	2.15227753863862e-15	1.4601665758564e-12
CFAP46	-7.88457461437742	1.27384607990384	59.0766545097743	1.51647780384529e-14	9.82057239608356e-12
ZNF229	-7.13491220996002	2.68997798410846	49.0797423468253	2.45765291529714e-12	1.52235569931471e-09
CTSF	8.34369763223272	3.7251353355079	45.5526226609116	1.48592587252988e-11	8.72091648126352e-09
ZNF248	3.38751953747947	4.26402055331205	45.4949772909551	1.5303075175938e-11	8.72091648126352e-09
ZNF560	3.27157717567712	3.10256797542007	42.7729341240425	6.1476891716982e-11	3.36869721650708e-08
SIX3	6.33652572651249	5.34721734621647	41.1048398299424	1.44278626897726e-10	7.61310221263667e-08
ZNF285	-4.22935968111395	4.5814351100777	40.6370471367919	1.83298265992058e-10	9.32660855567447e-08
HMX1	4.01044322229545	1.41980786528663	38.4372305354597	5.65433438316651e-10	2.77783799851632e-07
SLCO1A2	3.00878628586947	4.58192725895922	29.4396188436491	5.76862111935271e-08	2.72644208308712e-05
ZNF37A	3.6496096261154	0.106151571347313	29.3853453308503	5.93245627680921e-08	2.72644208308712e-05
FLT4	2.88453764749358	-0.367654654766955	26.0422138805858	3.3403322324604e-07	0.000148717854112073
CNTN2	-2.90979121364221	6.58162541087611	25.3150409461091	4.86897181933314e-07	0.000210206792454665
AGMO	3.61089037133639	-0.0164648627559259	25.1767780333685	5.23082667286606e-07	0.00021918702237742
CEBPZOS	1.34252711861803	6.20535018596741	24.0521795998451	9.37600703734431e-07	0.000381657063602984
SLC6A5	-3.77352011118244	0.886487779594736	23.8330616183327	1.05062314819786e-06	0.000415784110899304
PCDHA6	1.3924213467179	4.98686248407438	23.6023965390183	1.18439914141363e-06	0.00045605769101946
HIST1H1A	5.09377072707447	0.757543743780489	23.4563376827172	1.27781076478618e-06	0.000479078156997596
TSPO	-3.08430193977853	2.1610643418794	22.3909759822498	2.22416597899098e-06	0.000812504941094476
HIST1H2BB	3.23819964338562	0.237844122929839	21.421510997919	3.68612364141291e-06	0.00131290508798024
ZNF583	-1.24965265115996	5.14553550448542	20.3884265526881	6.32109250499492e-06	0.00219650255899177
MTLN	-1.4743800861307	4.58137512169544	20.1356476119895	7.21395302058574e-06	0.00244707592105441
CD163	4.62115145869182	0.643554482788354	20.0219705010116	7.65574807177454e-06	0.00250392915887691
RBFOX1	2.93940989510366	2.96265376304502	20.0027570947193	7.73305839759837e-06	0.00250392915887691
KREMEN2	-2.62162747072606	1.22009170622812	19.9044382285175	8.14111093725325e-06	0.00257747572273438
TSPYL5	-6.32495443469179	0.210765078864703	19.43167304808	1.04263521198488e-05	0.00322922257938014
TBX5	3.15456019684579	1.08227225946683	19.2785573132565	1.12967944678017e-05	0.00342437086771854
LRRC61	-6.63986814325905	-0.450660991614194	19.0972420860948	1.24224268301864e-05	0.00368713156353471
PCDHA2	1.27426686688234	6.34338893622606	18.81405595861	1.44101223156166e-05	0.00418981658429774
MMADHC	1.01003876616027	6.44901325139863	18.730258567202	1.50574090969579e-05	0.00429045814808717
SPAG16	-1.07143400529419	5.94824992072005	18.6877027286063	1.53972297467933e-05	0.00430126141573655
DCDC2C	2.50192468212795	-0.426298047290661	18.6271709695235	1.58939077553634e-05	0.00430750514968976
OR2L3	2.46102468684426	1.29196694084778	18.6115980241346	1.60242698767149e-05	0.00430750514968976
OR2L5	2.91194737917082	0.571180494044255	18.3628882794759	1.82579730774468e-05	0.00481706189693304
ARL9	2.09558896228608	3.77552847086624	18.1552063963947	2.03611998483342e-05	0.00527429116798578
ZNF454	1.41132144877577	4.43571295248887	17.9937123055901	2.21635832538466e-05	0.00563865304674201
ARHGAP25	2.34246203866929	0.539520107044509	17.8034229339115	2.44942196163111e-05	0.00611603079725061
ARHGAP22	-3.92078084841624	0.566062809426301	17.7722716514394	2.48985601348028e-05	0.00611603079725061
CCDC152	-4.5139699986548	0.407145673060826	17.4680582729747	2.92175612954402e-05	0.00705529823349385
