logFC	logCPM	LR	PValue	FDR
EIF1AY	-9.13740108692395	5.68784400370117	216.884221090033	4.32549700047203e-49	6.11625275866744e-45
COMT	-5.98940597851856	6.70668589952107	182.431181200023	1.42762467520359e-41	1.00933064536894e-37
ZNF117	-7.44067995407295	5.99685556261335	152.111180454368	5.99137768888245e-35	2.82393601735993e-31
ZNF138	-7.19354230062056	5.23957794303673	123.421819287428	1.12742161375554e-28	3.98543540462582e-25
TRIM4	-8.88052460190712	4.53836842299719	115.32157292767	6.69168986308717e-27	1.89240989328105e-23
C11orf74	4.00570080807631	5.02050160854399	79.1392135529181	5.7883931554457e-19	1.36413132030004e-15
ZNF667	-7.05863169635624	4.04906608366103	77.2108148884317	1.53649882905624e-18	3.1037276346936e-15
ZFP28	-6.92224827096927	3.82853368861538	73.0650733850456	1.25444884446575e-17	2.21723833259322e-14
ZNF107	-7.55567414121349	3.26571070514751	69.6783385982644	6.98085432137142e-17	1.09676977893546e-13
ZNF596	-7.37219627597154	2.99487876706191	63.371360020097	1.71188973940117e-15	2.42061209151326e-12
TBX1	5.24106585948916	3.34087116920648	55.9797589118229	7.32209885064777e-14	9.41222524983268e-11
ZNF229	-10.1000578711595	2.16295052753399	54.3967325051655	1.63835061046522e-13	1.88392457298833e-10
CFAP46	-6.8135334091756	2.57110360137219	54.2874577303165	1.73203815055504e-13	1.88392457298833e-10
ZNF471	-7.01655236303549	3.28870510291508	51.7944968811192	6.16242883858144e-13	6.22405312696726e-10
MYBPC1	-8.05205300991992	3.80005141939887	51.4807904511731	7.23010925706518e-13	6.81558299299344e-10
CSAG1	7.71842074785624	1.13003127855211	47.6510333756859	5.0925386477256e-12	4.5005310299275e-09
ZNF680	-6.15775692132186	5.0865829921187	43.0933241114128	5.21900326733495e-11	4.34098271765389e-08
CTSF	6.31311088280811	3.17085709996951	42.5268274888446	6.97193698308068e-11	5.47684383004226e-08
ZNF560	4.45159185482414	2.94757192942169	40.0242420445897	2.5083054967166e-10	1.86670735387225e-07
VIPR2	3.13545726382243	5.42368932222455	38.8527971282216	4.5699861402696e-10	3.2309802011706e-07
SIX3	7.6876024436749	2.82520617509415	32.3398015463592	1.29434751195136e-08	8.71527324713917e-06
CMPK2	6.36107088631027	1.83179478805377	31.761083962236	1.74351407351744e-08	1.12060404543348e-05
ZNF248	4.98066846421535	3.82701679341093	30.8307974456926	2.81534191240988e-08	1.73082324528155e-05
ZFP3	3.16337201958871	2.01908334694357	30.4454784283107	3.43382756620635e-08	2.02309674108991e-05
ZNF273	-6.27552835987204	3.00169734357864	29.8240108711823	4.73096350371426e-08	2.63796769508476e-05
ZNF285	-4.33507413978486	3.7074637865956	29.775603473271	4.8505770913864e-08	2.63796769508476e-05
TXNRD2	-4.65533764491913	4.28868671254777	28.2742065080584	1.05289664555405e-07	5.40078983664401e-05
TCERG1L	-5.11515117574431	1.75847065801413	28.2439871491612	1.06946333398891e-07	5.40078983664401e-05
INPP5F	1.75150488943387	7.49636685914415	27.6450869859107	1.45741760919478e-07	7.10616723931525e-05
MTLN	-1.87508632720034	4.98072378461859	25.7584978485569	3.86919633555756e-07	0.000182368120615946
CEBPZOS	1.30527523981887	6.45384466949402	23.7908799880343	1.07390088549151e-06	0.000489837371640322
BARHL1	4.05439523116383	1.46064257537503	23.7037145473905	1.12365450361062e-06	0.000496514833782944
DNAH9	3.55060127951078	2.53204629149044	23.5556981078714	1.21349525035834e-06	0.000519964328486879
ZNF562	-3.45626391398549	4.66650208250907	23.1208132887645	1.52134975017722e-06	0.000632702513750172
SLC7A4	-7.27919499729407	-0.323061468106062	22.9382025825725	1.67293769435455e-06	0.000675866828519237
ZNF558	-5.40274101766745	0.365523655753669	22.8723323644855	1.73126035162065e-06	0.000680000593664333
TRIM61	-7.83332175093187	0.0796561825565435	22.2233237269189	2.42707468995866e-06	0.000927536111243662
UNC5D	4.90146408141435	2.87318415484075	21.5903440759927	3.37546927798964e-06	0.00125602988396773
SRY	6.97098686161399	0.869161035644238	21.2085865192822	4.11914980746723e-06	0.00149345585327145
GNG11	-2.47690298084388	5.35374299281788	20.5863275136228	5.7001761277304e-06	0.0019626981742225
SLCO1A2	3.12031085835671	3.26660778055026	20.5854387604254	5.70282303525584e-06	0.0019626981742225
EHHADH	-4.77545959248716	0.585592193728589	20.5432840436091	5.82979655709654e-06	0.0019626981742225
OAS3	-3.58836615096237	0.697550365289522	20.2667022057908	6.73628016297615e-06	0.00219782341687717
HMX1	3.79595012204226	0.00701547698094595	20.1974845619359	6.98447182419714e-06	0.00219782341687717
CBLN1	2.08682934272937	4.96279429655997	20.1947433914205	6.99448753603058e-06	0.00219782341687717
RASSF9	2.7010863797739	0.709418919777985	19.5001422027375	1.00592193726447e-05	0.00309211656367817
KHDRBS2	5.54662802770975	2.99402994859769	19.2169257283662	1.16674313683666e-05	0.00351015913933411
TIMP1	-1.72158205826565	6.39419552185282	18.9556735193646	1.33790833966411e-05	0.00394125498392719
HIST1H2BB	3.48473872021587	1.31626701351821	18.803492569072	1.44901536834565e-05	0.00418144434865458
SALL3	2.68164865193201	4.83170154245579	18.423619300086	1.76852222850694e-05	0.00500138086221763
TPM2	-2.87266145200812	5.00538014348055	18.2763146007486	1.91068113057126e-05	0.00529745709534856
OR2AE1	-5.84314469718886	0.757559782992563	17.9937063552636	2.2163652533575e-05	0.00602680859278366
AJAP1	5.29843519051612	2.65180867113205	17.1472479514554	3.45910226208297e-05	0.00918588568748871
ACTC1	-4.65447241437774	4.47322838552397	17.1205609739243	3.50804686792355e-05	0.00918588568748871
LHX2	4.78710407935973	2.35827409176824	16.6083783753915	4.59475948976592e-05	0.01181270894278
RNF182	1.74289430003013	5.13439168756946	16.4445707024203	5.0093441733277e-05	0.0126485940376524
CRLF1	3.26024024343762	0.838220707785108	15.7833428887922	7.10250654548625e-05	0.0176192004479255
SPAG16	-1.20506198729596	6.98826373610158	15.5511757886647	8.03016906005116e-05	0.019576998363642
NECTIN3	-1.14369171897267	7.48476788461631	15.1361740035312	0.000100028140968901	0.0239728459881399
EPAS1	2.98843258901974	2.59649951060415	14.9220892722487	0.000112043368752219	0.0264048872359396
AIF1	3.38030681203173	3.37945776647197	14.8436787945446	0.000116798859480219	0.0270743585745951
MAPK3	-1.08025443908163	6.07087844738429	14.4458876080954	0.000144244465026949	0.0328970441206623
PPARG	2.72056969146589	1.1480825728277	14.3372902675798	0.000152807793231924	0.0342968602587208
S100A10	2.1654118393202	4.21998323335732	14.207606137869	0.00016370744875678	0.036169114459701
CD36	2.3057204178859	1.22903549337707	14.1150220113468	0.000171964963853932	0.0374089936753016
ZNF493	1.16341341334706	6.18433055668663	13.7653915831751	0.000207116794287315	0.0443732041094339
GFRA2	2.28390142489821	3.80864834433127	13.4399955082358	0.000246316211425223	0.0519837496948157
DES	-6.55855312127823	4.05095144066142	13.2376614659335	0.000274380009870062	0.0570549020523924
CYP26A1	-3.3021323927511	4.76773838203418	13.0946669745215	0.000296137643251245	0.0606867576169943
HOXA2	-6.51265571262322	2.07027167204641	13.0052009819522	0.000310627000874642	0.0627466541766778
ZNF454	2.086525313603	3.72746642927876	12.8762032880454	0.0003327866860814	0.0662761090308591
SLCO4A1	2.1693326953215	0.593217967423785	12.3832731467186	0.000433197089719664	0.0850750951199452
ZNF132	-2.73335026492696	0.304395813082163	12.2951013395198	0.000454148710663951	0.087967983134086
HIST1H1A	4.83088332951216	2.20320458765638	12.2092476848039	0.000475532064831082	0.090865181036642
CYP7B1	-1.48660435808825	4.91018677932274	12.1524217487175	0.000490241662369326	0.0924268947453636
ZNF502	1.52166008916333	4.67614446082574	12.0603431736637	0.000515058097060625	0.0942115941753144
ACTA1	-4.18905533387716	3.68612238159955	12.0464805573544	0.000518902564361594	0.0942115941753144
ANXA1	2.43011238986407	4.14930999852808	12.0436317100047	0.000519696205493248	0.0942115941753144
CXCL12	2.21190001429249	2.2506869781051	11.4649949441669	0.000709194239262634	0.126936791685742
HEY1	1.71566337697811	4.00603298767045	11.3761040380322	0.000743949929215597	0.131493149988857
ZNHIT6	-1.05245920673832	5.86536877733677	11.3023969595547	0.000774070944975441	0.135127940271021
BARX1	2.43534476875873	1.59828139069774	11.2316178019967	0.000804155169459085	0.138667732879896
MT1F	2.32487008486848	2.45470736831384	11.1371012545948	0.00084618021091152	0.144156484123963
ADAMTS2	1.67719717529907	3.63476448533274	10.883220153485	0.000970393858358542	0.163349632823688
SPAG4	2.11566577971331	1.86641210766857	10.8450499570096	0.000990602070985878	0.164789568044004
PCDHB5	1.51115714038824	4.99209358321924	10.7504978313645	0.00104251271460052	0.171408485865713
GSC	2.78895757818155	-0.476871192708819	10.7138513224466	0.00106336453987027	0.172827294181214
ME1	-1.91167384582947	2.21824462047288	10.6873693687301	0.0010786948749944	0.173326653777509
ZNF512	0.875552429821551	7.14356588647534	10.6104963490869	0.00112447500635303	0.178652545953166
KCNK1	2.81288097667929	2.94258718316484	10.2849116634106	0.00134122440813197	0.210721257010957
MMADHC	1.05049069886907	6.5728574653601	10.1503999022365	0.00144269942947637	0.221922181445723
MSC	2.71886616489686	0.739665816877461	10.1488579093547	0.001443906696818	0.221922181445723
RGS20	-1.29276949966924	5.58752854476163	10.0964604415866	0.00148554382663099	0.225866556006045
DLC1	2.05741915828771	1.50711433307875	10.0706348599018	0.0015065111336207	0.225878150714733
BMP6	2.59182584792948	0.286956282719312	10.0571611456364	0.00151756890508484	0.225878150714733
IRX3	-0.988384919924532	5.71329669864838	10.037571626312	0.00153379268213017	0.22591488047209
WNT5A	-1.13921112919257	5.80294032337265	9.8709253892191	0.00167911034627571	0.244055299788507
CAT	-1.15222167718464	5.40541313972233	9.85742991771528	0.00169147237477183	0.244055299788507
DGKK	2.19016754873305	0.268237212031286	9.79759034883843	0.00174740691331174	0.248031343375117
CRTAC1	1.86066416061677	4.02924106670502	9.79054847894426	0.00175411133928654	0.248031343375117
DLGAP2	4.35598219632659	0.119762065564321	9.57991947509986	0.0019671703397215	0.272976372975802
LMX1A	4.14142355212826	0.97941635180128	9.57808537985539	0.00196913649529928	0.272976372975802
FST	-2.11222442687876	3.93692493344884	9.54181112249011	0.00200843462051202	0.27572102460233
CATIP	-2.3165383871211	0.248410661600423	9.43993137658359	0.00212311438308718	0.286543770015057
ONECUT2	1.69886117892711	3.83625603429452	9.43019692450317	0.00213441368295107	0.286543770015057
CCDC80	-1.19317782941156	5.77940595916739	9.418505632678	0.00214806503688798	0.286543770015057
UBLCP1	-0.951874966463716	6.61312821920758	9.35276908199142	0.00222648817500288	0.294229371911595
MFAP4	2.36687830084708	5.725926448218	9.28985279870341	0.00230426676085973	0.301539288220513
TNFSF9	-3.94818736129418	1.1904255269557	9.27387494313443	0.00232445420198274	0.301539288220513
EMX2	2.94977108659708	2.88606994542445	9.23659797993778	0.0023722528523465	0.303352852876749
SLC30A2	1.49883672470562	2.77247559615175	9.22959638516941	0.00238134134860814	0.303352852876749
CMBL	-0.932527128813932	6.04129610639396	9.12467419914344	0.00252184792399822	0.318383300404775
TRIM38	2.07464337124018	0.497560292293691	9.0251388072037	0.00266291703738328	0.332453468991241
CD24	1.41351793578249	8.97627449214552	9.01323363669758	0.00268031792538907	0.332453468991241
AC099489.1	-2.00636080237862	1.24015090944928	8.95254966770011	0.00277082589298336	0.340691114145954
ALKBH3	-1.24468085327753	4.5752637965221	8.87372727994211	0.00289303860243515	0.352341213360113
ITGA2	2.57191775692708	2.09364379286947	8.85966437370275	0.00291541173713813	0.352341213360113
CHST15	1.04818807868842	5.31567113511055	8.77399533574245	0.00305555410874321	0.365188624827869
EFEMP1	1.68690513898907	3.78881389241497	8.76339175588743	0.003073369614888	0.365188624827869
MYC	1.32511155932434	4.26555291061183	8.73908924648877	0.00311460044069965	0.367003751929108
