logFC	logCPM	LR	PValue	FDR
ZNF117	-7.25850254770875	6.33563767992699	1054.0076014102	3.27540142305832e-231	4.50924513912439e-227
ZFP28	-8.02955320631727	4.7531416850911	632.881157340341	1.18085965173875e-139	8.12844741274369e-136
COMT	-7.43805619618661	4.82487604563365	589.438072435346	3.31998509066683e-130	1.52354115810701e-126
ZNF680	-6.50464450971968	4.25194455405145	388.649886498461	1.6285454892218e-86	5.60504643752913e-83
SIX3	7.47089183919586	4.78806800165342	253.260582273333	5.05383864919725e-57	1.39152393366997e-53
INHBA	4.7363127321819	5.65731802268257	245.435927927639	2.56734718554572e-55	5.89077811723465e-52
BCOR	2.74897429873425	8.111484436638	216.421083505583	5.4583963690467e-49	1.07351061160951e-45
ZNF285	-4.59017724243978	4.57370854836845	215.483407585415	8.74204701531448e-49	1.50439701574793e-45
TMOD1	4.64011932178525	4.30631263666773	215.126757488178	1.04571938263087e-48	1.59960208229769e-45
COL27A1	2.20620798734409	5.78411150818979	211.127666610035	7.79550004611208e-48	1.07320649134825e-44
IRX5	-2.46986111438293	5.47459926178158	202.427123596146	6.16871581190802e-46	7.72042823477615e-43
POU4F1	-3.24402697724378	5.19965998701386	199.786326771303	2.32519992444324e-45	2.66758561331751e-42
TBX1	6.43261092199935	3.59594278074263	199.499114073542	2.68619221710937e-45	2.84467755791882e-42
TXNRD2	-5.48659294457362	3.41373198688139	186.818360586269	1.57341886059121e-42	1.54723267526851e-39
PAG1	2.07244246148597	8.00094691514847	186.60299951263	1.75330418317725e-42	1.60918257932008e-39
FABP7	2.08353699656569	7.52654903521919	181.614744675648	2.15211040902566e-41	1.85175650006602e-38
KCNK1	2.38845619432649	6.71710039622294	176.642440243878	2.62149632923881e-40	2.12294940968416e-37
SSTR2	2.3095735379066	8.17712833434529	169.690271322678	8.64598888094507e-39	6.61274049577615e-36
LMO3	-2.29085360829553	6.74140543118861	168.707827534481	1.41708533768029e-38	1.02679020230761e-35
TLE4	-1.67522103407292	6.46772921393769	164.341877079951	1.27372940276607e-37	8.76771634394023e-35
CRTAC1	2.4675655403456	6.5159340783943	160.576690158933	8.46544626689311e-37	5.54970470268178e-34
NFIA	2.22261297331466	6.96592205786635	158.936650859044	1.93188831582032e-36	1.2089230201772e-33
NHLH1	1.82614428441197	7.31419571082484	155.653384829289	1.0078851181032e-35	6.03284974822901e-33
LMX1B	-2.90905042099815	4.87483202648875	152.314528445511	5.4085872253016e-35	3.10250084711363e-32
BMP5	-5.90462695809026	2.76849971127433	150.092778273397	1.65455287227441e-34	9.11129175704071e-32
C11orf74	3.34682635137178	5.15708209090494	146.652316671198	9.34839657521586e-34	4.9499759865768e-31
SLCO1A2	3.6442610767519	3.7888791150174	144.115908011121	3.35157822368418e-33	1.70893249649852e-30
NFIX	2.18785887898452	5.95567374160507	133.827314817612	5.96003509297234e-31	2.93042154017679e-28
ZFHX3	-1.68311006242574	5.90988274333685	132.267215555533	1.30776415808436e-30	6.20827212563705e-28
EPB41L4A	1.44721616806496	6.93426226840602	129.202410949289	6.12433623952752e-30	2.81045790031918e-27
GFRA2	1.70727033044277	6.45114498831149	127.101715721345	1.76492110882827e-29	7.83795771136737e-27
FSTL4	2.14554063471405	6.61200770192122	119.11497532365	9.8831673917033e-28	4.25192392129935e-25
ID2	1.67191637513741	6.65524255316895	119.02132541028	1.03609602510038e-27	4.32240423562331e-25
SLA	1.83138046248061	5.32598992562379	116.355898252691	3.97217257190121e-27	1.60837940580482e-24
IGFBP5	1.41012328672251	9.86772120539943	115.113357401453	7.43250339541467e-27	2.92352212127639e-24
RSPO3	-3.41231363658226	3.46056791369357	113.990015256669	1.30966301927803e-26	5.00836966288907e-24
LBX1	2.52587424015048	5.36321847333751	112.317264907003	3.04472763071652e-26	1.13288554843444e-23
ITGA11	2.9576002122953	3.78338821867068	110.700487965311	6.88210821430986e-26	2.4933153628001e-23
KCNIP3	2.95241113685397	4.12085947193408	110.604177363376	7.22471650142158e-26	2.55032492500182e-23
EPHA5	-1.39193532998931	7.19578738154099	110.084340485323	9.39089949756492e-26	3.23211283457441e-23
PAM	-1.58035350706912	7.49564529109205	109.944757036192	1.00759979156366e-25	3.38332349523339e-23
HS3ST1	3.00781428518836	3.9445994627683	106.60804941666	5.42523934915717e-25	1.77831595523445e-22
NOG	2.73383095052835	3.89571839378085	103.376710313537	2.77113226307954e-24	8.87213438739908e-22
NEUROG2	1.28910605078378	8.94892916351379	103.286475230327	2.90026495707587e-24	9.07453356001443e-22
