logFC	logCPM	LR	PValue	FDR
ZNF117	-8.14089855175959	6.67891911513827	254.715103694661	2.43524194373072e-57	3.40008480183684e-53
ZNF138	-9.94893731181178	5.56258920412376	210.844032095298	8.98925384376039e-48	6.27539810832913e-44
TRIM4	-9.63423784513764	4.09889118728768	145.723810235009	1.49183464631605e-33	6.94299844395489e-30
ZNF680	-7.48001855243916	4.67699180435952	143.886835601081	3.76125339863259e-33	1.3128654987927e-29
COMT	-4.65831169750037	5.71463598698921	124.042626627178	8.24531380673348e-29	2.30242142739226e-25
ZFP28	-8.10351388730469	4.32251856110698	107.75727554613	3.03795170407662e-25	7.0693136153863e-22
ZNF107	-11.4030212536724	3.16829712217484	101.866530059951	5.93915801723377e-24	1.18460748909454e-20
ZNF596	-9.72003228104079	3.00369832850675	79.7201190590978	4.31385526411996e-19	7.52875589970535e-16
ZNF667	-8.74457420549976	4.08108704591211	77.6677999293525	1.21912686047404e-18	1.8912721362154e-15
CTSF	7.43930318823909	3.70779976827709	75.9217959719866	2.95124433718921e-18	4.12052734358357e-15
C11orf74	3.91215914508017	5.11717972105375	68.1847975920851	1.48869058072059e-16	1.88955435345644e-13
WNT7B	3.60499512352037	6.48318347058284	63.694172893722	1.45313781302113e-15	1.69072584545009e-12
ZNF248	4.78731382598712	3.68356688797662	59.1566489152042	1.45606529029297e-14	1.56381412177465e-11
MOXD1	4.79085568353937	6.4492403990523	57.1584115584803	4.02084451645617e-14	4.00993079562579e-11
TXNRD2	-6.17444246519251	3.78113762836632	56.1093982400369	6.85486614093805e-14	6.38050940398514e-11
ZNF471	-9.49407403953518	3.45682529260845	54.9424124788076	1.24113599842645e-13	1.08304630062688e-10
CNTN2	-3.8928446750791	8.80184066603495	53.6116763493697	2.44303104962931e-13	2.00644703028967e-10
ZNF229	-7.80345567629408	1.78764969649215	53.2662324856401	2.91270614483127e-13	2.25928906634079e-10
ZNF273	-8.08277092782386	3.00588996008227	53.1475522719834	3.09410758822079e-13	2.27368053403888e-10
AJAP1	7.37368187476821	2.97297795437098	52.0481972423214	5.41549249979739e-13	3.78055531410856e-10
SHISA6	9.06116444341994	3.59664256180168	51.265306188581	8.0689136743631e-13	5.36467489149798e-10
RSPO2	4.49328491518637	5.98671621322031	48.8619188305678	2.74631450801188e-12	1.74291105276645e-09
FAM181B	3.80992131021754	6.14496396156245	48.7735109210085	2.87293885551461e-12	1.74399879568239e-09
LRP2	3.26783201636688	6.36968977546154	48.0109756209362	4.23839937266726e-12	2.46568883504918e-09
C5orf49	4.2060284558967	4.59801345681073	47.6244482654221	5.16206865976299e-12	2.88291210510443e-09
CELSR1	2.19841144739836	6.4145702134042	47.2994365431725	6.09297293471215e-12	3.27192646594043e-09
TCERG1L	-6.89013387146481	1.67178897390276	44.8498041466666	2.12742148893422e-11	1.10011328994443e-08
EIF1AY	-8.77057726848302	5.5732261287523	42.9272462413601	5.68138608472764e-11	2.83298258982026e-08
CFAP45	5.64059730872593	2.63094282243795	42.1098565574821	8.62871772497284e-11	4.15428127158865e-08
VWA3A	4.57293095889656	3.92537732269453	41.0209990953106	1.50602366336419e-10	7.00903412929695e-08
VIPR2	3.80019986816209	6.73623999649282	40.5724466821111	1.89459508725945e-10	8.53301180913432e-08
ADAMTS3	4.34002368316314	5.31553369827553	40.1709643898963	2.32681009168585e-10	1.01521632812868e-07
TBX1	5.42042611310615	3.41371854463423	39.8171719200664	2.78882370780575e-10	1.17727594426781e-07
KHDRBS2	6.51251381909179	2.76450318227326	39.7632570134926	2.86688025391102e-10	1.17727594426781e-07
RASSF9	6.96379139081657	1.30893468798462	39.1941837079168	3.83681504593015e-10	1.53056033346505e-07
ZNF285	-5.11964965731229	3.82168998550716	38.0866594080043	6.76712367634033e-10	2.62451613247399e-07
CSAG1	9.19827384384717	1.11260524185961	36.6075459815676	1.4447137382257e-09	5.45164681435332e-07
SALL3	3.74069520999262	6.18632899712291	36.3755967532253	1.62727974664964e-09	5.97896837440061e-07
FHAD1	4.35657334491933	2.91323606663983	34.648728401489	3.9489643946004e-09	1.41372925326694e-06
SLITRK6	4.03723510346848	2.67287979384439	34.5625363476944	4.12774563370747e-09	1.44078961344559e-06
ZNF562	-4.44717599884069	4.73266409633406	33.1242713812687	8.64527838964606e-09	2.88835543640847e-06
OR2AE1	-8.89046825298115	0.740559125184811	33.1145411791263	8.6886497872193e-09	2.88835543640847e-06
COL5A1	3.3589148554589	5.08736584644887	32.8293201169408	1.00615753593123e-08	3.26697012015625e-06
TSPAN33	2.99777571825481	5.65218650406197	32.2342567377832	1.36659907771713e-08	4.33646734615604e-06
C1orf158	5.30970822488315	2.39595204583838	31.242656239489	2.27707242283954e-08	7.06499670393014e-06
SPAG1	2.90544508798883	3.65086263379351	31.0466722507568	2.51897826794365e-08	7.64564664718028e-06
LGALS1	4.09179413191542	6.70480230557021	30.7508294959564	2.93378402744753e-08	8.71521118962179e-06
MAMLD1	2.87793770031796	4.91005455681909	30.534074661973	3.28053704405148e-08	9.54226212688475e-06
CMPK2	6.2716778426445	1.47205316969246	30.4033678057898	3.50918387021184e-08	9.9990255501832e-06
BCL2	2.37318070757127	6.0409667916014	30.0378399234772	4.23697121084305e-08	1.17611938287091e-05
PTPN3	2.8074520773538	3.94711337011185	30.0109674496651	4.29609572600031e-08	1.17611938287091e-05
SRY	9.8840366234562	1.60494030364781	29.7607797120516	4.88780877215826e-08	1.31237665532449e-05
SGPP2	3.81634265453313	2.60548469366333	29.7221081926105	4.98629035594443e-08	1.31355822546596e-05
ZFP3	4.30108639989323	1.94942309226065	29.6138274416909	5.27274565823126e-08	1.36329768296713e-05
EHHADH	-4.90235077148273	0.272756337041352	29.3313677669155	6.10002211257884e-08	1.54851834065138e-05
ZNF560	3.39027502404034	2.82208162830887	29.2708695393845	6.2934732508246e-08	1.56909774157166e-05
PRDM16	3.18608675471558	3.42755866123725	28.6636887604133	8.61031819115357e-08	2.07850680174463e-05
FAM81B	4.94472090400692	2.96031015131919	28.6582818229426	8.63439295954652e-08	2.07850680174463e-05
ERBB2	1.97665384581396	6.54320507045074	28.3880764833947	9.92748663152636e-08	2.34928081948087e-05
HTRA1	2.34153797824346	5.35146440279953	28.2419788746389	1.07057351052568e-07	2.49122455899327e-05
C6orf118	3.23916097133868	3.47728086917702	27.8124501288218	1.3366319560396e-07	3.05935333938113e-05
CEBPZOS	1.40820360541869	6.11221762462679	27.7133077653019	1.40691529116084e-07	3.16828246696576e-05
CHRNA3	-2.48033195473882	8.2936879905914	27.0555935669628	1.97687360452842e-07	4.38112845498822e-05
TRIM5	1.85335375387696	5.22301265775029	26.9497473312672	2.08814444875832e-07	4.55541762399432e-05
