logFC	logCPM	LR	PValue	FDR
C11orf74	3.84681803145268	3.27605501588891	751.547573224369	1.84885944552904e-165	2.533676984153e-161
UBE2T	-0.958566214874802	7.45793364302084	589.68765029663	2.92987690454339e-130	2.00755165499313e-126
SLC15A4	-3.75675187107912	2.11696314111966	383.987965452924	1.68550582635938e-85	7.69939061480964e-82
ZFP28	-1.171537509939	4.50315186845214	324.877608451991	1.25451884441379e-72	4.29798156096164e-69
FZD10	-4.03471592952027	6.3077897644734	315.119672251657	1.67481746787635e-70	4.59033971595551e-67
CDC20B	2.92467113281125	2.70326248916227	306.000218133329	1.6239335181149e-68	3.70906415537444e-65
NDNF	0.884661034153679	5.34041736224539	246.205753213444	1.74439390015437e-55	3.41502485824506e-52
PCDHA2	-3.65338967051462	2.15377789138564	241.260757871915	2.08836773257527e-54	3.57737392590144e-51
ZNF229	-4.23658700014967	1.48045757887033	227.491352129355	2.10111410969005e-51	3.19929641768805e-48
TMEM132D	-8.55340154576473	1.24248067893919	223.310095106466	1.71550250267302e-50	2.35092462966311e-47
ZNF605	-0.930326722971961	4.8127156547337	214.364131715473	1.53384465039947e-48	1.91089155355221e-45
CRABP2	1.0083606551312	8.35119574147967	210.123154237678	1.2912105878956e-47	1.47456249137677e-44
PCDHA4	-0.798232565044149	5.12754172158517	207.365396731187	5.1603418603012e-47	5.43979421950521e-44
IRF2BPL	-0.457587246775149	7.92179725456945	191.237437206641	1.70698508808952e-43	1.67089454622705e-40
IL17RD	-0.493419404402537	8.67209363316818	178.066727193559	1.28098647695103e-40	1.17030924534246e-37
CXXC5	-0.509949424663415	7.7285046360177	172.806712583758	1.80376967915566e-39	1.54492873019683e-36
FBN2	0.481865171477571	7.83837927079734	172.47439982185	2.13184270138261e-39	1.71851602233807e-36
SMOC1	0.8507059811224	7.39504799888328	171.641391825955	3.24100702674909e-39	2.46748668303164e-36
ID3	-0.751489563392331	8.61926678734642	168.82501048662	1.33598323912661e-38	9.63595489946901e-36
SHD	-0.586308439494436	5.97967189878836	157.104268655307	4.85697519109801e-36	3.32799940094035e-33
ITGB5	-0.587303089052647	6.1932793924432	154.345301663164	1.94655797396506e-35	1.27026811786749e-32
MNS1	-1.26231028837325	3.43760757665398	153.429177108346	3.08658123350102e-35	1.92265951017718e-32
PDGFC	0.64015581038214	6.43857462087751	153.162439880935	3.52997823882942e-35	2.10325312108341e-32
EMX2	2.09791575500497	3.10145134329968	148.500616754182	3.6872269392901e-34	2.10540658233465e-31
ID2	-0.609607726363076	7.27476460125126	147.542930479887	5.97097640031427e-34	3.27305042359627e-31
CTSC	0.802318171974254	4.58683772366699	143.471665757602	4.63558548932752e-33	2.44331013637478e-30
HSPA1A	-3.08981748448557	1.03693270739853	141.391770576423	1.32091860570014e-32	6.70439576759804e-30
MYCN	0.585586821786022	7.26878349322739	140.586679621631	1.98117263133569e-32	9.69642490708013e-30
ZIC5	-0.404034801911561	8.24918355994133	131.909375774264	1.56607673125181e-30	7.40052259485338e-28
ZNF100	-1.14938196233715	3.18121467347832	128.039159988677	1.10050051227922e-29	5.02708634009148e-27
NUAK1	0.624481171555093	6.62837364899953	127.916977351823	1.17037777279131e-29	5.17382483817165e-27
TIAM2	0.725653564122886	5.5938527181852	124.335944778047	7.11228309557763e-29	3.04583523568112e-26
BAMBI	-0.938846219847376	4.12867783211626	123.548912398505	1.05747090681761e-28	4.39138827485712e-26
COL26A1	0.994917660519565	4.1291523784454	121.790267631197	2.56576958224947e-28	1.03415606926902e-25
PRTG	0.472813584177119	8.06547120377936	118.805868430698	1.15497606854942e-27	4.52222629811464e-25
LSR	-0.637311909547298	6.40348574018457	115.659170386718	5.64421092274857e-27	2.14856295792629e-24
PDE12	-0.710650401620222	4.75104554801884	109.455778284208	1.28949445469492e-25	4.77600865057814e-23
LRRC55	-1.35124370876815	4.28912296123779	108.117841028183	2.53263463651437e-25	9.13348027862972e-23
SOX21	0.433651405975441	7.53699986018253	107.596652057184	3.29441252292699e-25	1.15760587728696e-22
TNIK	-0.555937713983847	6.25895724081127	107.131261708552	4.16639757840633e-25	1.42740781036201e-22
ZNF608	0.391727677735969	7.39311969456049	101.945251980242	5.70776426880844e-24	1.90778540340856e-21
ARL4A	0.476540733117967	6.1007620015554	101.51286659113	7.1000754789543e-24	2.31665319913309e-21
FIGNL2	0.54801197685368	6.74781776062285	101.19727738517	8.32636979364769e-24	2.65359468958484e-21
ITM2C	-0.447790748524021	8.70003055200746	100.304044751635	1.30709586195698e-23	4.06131041536607e-21
EPB41L4A	-0.345811995450185	7.24464925230691	100.26425885359	1.33361769331198e-23	4.06131041536607e-21
PREX1	-0.428772749824317	7.10457067769711	99.1870563828045	2.29743706564308e-23	6.84436468425494e-21
ALPL	0.579435881561623	6.30841356307885	97.9023064747174	4.39541430637411e-23	1.2815905883947e-20
LMCD1	-0.897758435547206	3.49649863862738	97.5739188399534	5.18828298212368e-23	1.48125479139631e-20
STK26	0.499067444675565	6.16262087954679	96.4622655778266	9.09610375528533e-23	2.54393889515164e-20
APCDD1	-0.524668675762351	7.63055503269555	96.2012940765008	1.03777043739885e-22	2.84432121482276e-20
NOTCH1	-0.408508258012634	8.22092450016193	95.9954016985316	1.15150621010991e-22	3.09416492222474e-20
HIST3H2A	-0.844581508627761	4.16495930949093	95.7469499267738	1.30547473695496e-22	3.44042803754437e-20
NTF3	1.66158033652778	2.8061031105144	95.6576716210223	1.36569447742821e-22	3.53122209786344e-20
DRAM1	0.924561768916537	4.08776846353029	95.6018760164028	1.40473236731338e-22	3.56489858549306e-20
PDPN	0.503152733199557	7.03190840658305	94.8031702034991	2.10288598157137e-22	5.23962718026438e-20
CCND2	-0.350837063918502	9.67224962835389	93.683939668993	3.70152232618549e-22	9.05815392107963e-20
