logFC	logCPM	LR	PValue	FDR
FOXG1	5.9411214278216	4.16133545818718	3344.53431049476	0	0
PCDHA2	-5.34987306543844	4.34085213354956	1577.32706231266	0	0
GPR6	5.84680501096491	2.92606742209142	682.008111405862	2.44473124331839e-150	1.15212034393452e-146
ZNF605	-1.00272741315896	5.52376302914745	534.112034603943	3.60047552168264e-118	1.27258807313873e-114
BHMT	8.24803296598968	2.07982073758301	435.380375522594	1.09614115934946e-96	3.09944874217655e-93
POU3F2	-0.587759404404734	7.95818326443916	351.805190511335	1.71410193679735e-78	4.03899553040683e-75
HIST3H2A	-0.98649926074601	5.22037311071609	347.748036820161	1.31081364278093e-77	2.64746904023382e-74
GLT1D1	-6.93012024935352	1.36239800597313	345.954810880227	3.22144923772931e-77	5.69310616537713e-74
C11orf74	2.26768393449021	3.18780837124961	275.59022768146	6.86418146096232e-62	1.07828663883428e-58
SLC15A4	-5.05861439224374	2.28259409285026	273.037688493833	2.47099424956322e-61	3.49349167003248e-58
PCDHA5	-1.00836301039469	5.02545955756337	263.381492624501	3.14376041397912e-59	4.04058952116698e-56
FZD10	-3.12090836231854	2.19673335595499	242.515918394893	1.11207653753496e-54	1.31021150730577e-51
PCDHA4	-0.661161531156323	7.20571937320841	236.974862211259	1.79612972502976e-53	1.95336015788237e-50
TMEM132D	-5.80126464791468	0.92605767364538	206.210107862979	9.22036201765323e-47	9.31124844325581e-44
PCDHA3	-4.76914997153928	1.1317437023923	196.714239829063	1.08864770861207e-44	1.02608675362383e-41
ZNF229	-4.0146482912879	2.04262735449685	195.481466969042	2.0227029704326e-44	1.78731091224851e-41
ZNF667	-1.92389234324286	4.43170520045517	189.499108863239	4.08945559713302e-43	3.4009837195451e-40
DZIP1	-0.638595730332993	5.86014346878433	181.210494633593	2.63709038576548e-41	2.07128799299735e-38
TFAP2C	5.40814726551619	1.53771247053444	178.258648707866	1.16315597538839e-40	8.65510483160057e-38
PNCK	-0.824149759159882	5.5353042288322	164.525968028748	1.16107987507957e-37	8.2076736369375e-35
ZNF671	-1.01234197642356	4.20606301820201	163.3405119384	2.10781402428641e-37	1.41906069882673e-34
PCDHA12	0.602836409458869	6.65499670643645	161.026798310179	6.7500909011584e-37	4.33785387093534e-34
FABP7	0.6420411200198	5.70597297087566	151.240155616049	9.28749136061655e-35	5.70898055897378e-32
GREM2	-0.997932904865352	4.87793563811376	146.428793940991	1.04616772948642e-33	6.16279973311623e-31
PCDHA10	-0.620917072814698	5.62149752112523	145.633809553163	1.56097684586946e-33	8.827636258761e-31
VAX1	4.08306744354356	0.633452285983485	136.955939967099	1.23290603453939e-31	6.70416366012227e-29
ZNF354C	-0.743833854052973	4.92584488865231	136.727770705222	1.38303530246483e-31	7.24198263194363e-29
PCDHA8	-1.16009705144634	3.10924887951739	119.347883417404	8.78827133183479e-28	4.43744928891001e-25
DLX6	5.0985745755814	0.3089768316757	116.111511053656	4.49309022280593e-27	2.1904589506907e-24
SCD	0.310626403579082	9.30235297632905	114.835143883236	8.5519489276813e-27	4.03024846465194e-24
