logFC	logCPM	LR	PValue	FDR
FZD10	-4.1057763100144	6.40941783030338	6623.23132499366	0	0
C11orf74	3.81295806109127	3.21854654239258	1527.05167377095	0	0
SLC15A4	-3.97197201817764	2.1884899246521	1014.58446527285	1.21381250949179e-222	6.14270050636811e-219
SMOC1	0.882064886684154	8.20408211306744	964.41430395118	9.7600904998188e-212	3.70444234920623e-208
PCDHA2	-4.27325941175124	2.32562908855998	791.785610364162	3.2963154375298e-174	1.00089321945155e-170
PCDHA4	-0.936408121753712	5.46385146072581	657.469917963495	5.30353406317458e-145	1.34197090245194e-141
FGFR3	-0.81421636167703	6.84539385969822	622.758961152146	1.87799867937499e-137	4.07311085003873e-134
VAX1	4.66870562862994	2.69887621417906	610.512602505877	8.65480074515552e-135	1.64246481141189e-131
POU3F2	-0.567440245830303	8.23521817124373	461.728501310398	2.0218132884305e-102	3.41057437166131e-99
NAV1	0.804964363002656	6.28541630427226	447.480259615915	2.54967129744582e-99	3.87091096378225e-96
IRX1	-0.614635522286385	8.03702900393011	436.099269217952	7.64546798703009e-97	1.05521359071901e-93
PDE12	-0.852882964824106	4.70507195448947	430.700932628996	1.14374814629031e-95	1.44703202974829e-92
EN2	-0.862824365237797	8.84300594326026	428.384648668183	3.65149441935399e-95	4.26438371343325e-92
NRP1	0.993732248993643	6.3475965938355	420.385978183115	2.01109988434404e-93	2.18089417457938e-90
EMX1	3.93946188322859	1.4730815928637	399.636554066368	6.60773095932504e-89	6.68790476163151e-86
ZNF605	-0.953347847641867	4.89963165554086	399.443165685723	7.28032372274006e-89	6.90811717241498e-86
UBE2T	-0.725989121649816	6.82802108749397	397.55820413276	1.87278075251533e-88	1.67250337556987e-85
NTRK2	-0.59790321617828	7.15862948940282	385.303391069144	8.71666625430258e-86	7.35202372626787e-83
ALPL	0.913880875715873	6.83338234392271	380.513908097895	9.61779626747449e-85	7.68512541751567e-82
NTS	3.7654358582076	1.5063577814333	374.296788459661	2.17102315365222e-83	1.6480236759374e-80
ARX	2.62314296497886	2.5252578619761	354.946408483904	3.54821829983454e-79	2.56519286800419e-76
HIST3H2A	-0.868339990702451	4.48147992982705	338.115607936654	1.64157591572071e-75	1.13283661602145e-72
CAPN6	3.87968997656797	1.62646605949159	305.15208367047	2.48506138421409e-68	1.64035660587558e-65
CNGA3	-0.982132852688847	4.51601143278994	301.04046246765	1.95474868388407e-67	1.23654143828033e-64
UNC5C	-0.752304628748944	6.4408537459449	286.142075757479	3.44494433016112e-64	2.09204579282024e-61
