logFC	logCPM	LR	PValue	FDR
TBR1	5.10787335595896	5.39669455749248	447.178764042074	2.96550619006787e-99	3.65587603111568e-95
PCDHA2	-5.54399397665505	4.14974251853989	382.595885807042	3.38689013242211e-85	2.08767907762499e-81
NEUROD6	4.85868603156563	5.08199281025543	353.196983690829	8.5302158742546e-79	3.50535004326036e-75
FOXG1	6.8021704735682	4.74763829927395	311.630917642376	9.63703019817171e-70	2.97013270707652e-66
FEZF2	4.60989399815598	3.81346902786538	136.706973425855	1.39759681847264e-31	3.44591471562615e-28
PCDHA4	-0.76710852168599	7.34931430335922	135.196911573351	2.98995996088859e-31	6.14337106630576e-28
CPNE6	6.2543449256256	3.6412230464362	126.751855203391	2.10516435483543e-29	3.70749516663017e-26
PCDHA12	0.796388333760085	6.94397270738787	114.526081571184	9.99430382946916e-27	1.5401222201212e-23
ZNF667	-1.93919012057788	4.14526159275938	94.3319103009424	2.66814155729684e-22	3.6547610131506e-19
ZNF605	-0.980721397167207	5.53300672931776	93.965725772658	3.21034974955375e-22	3.95771917124986e-19
MEF2C	1.20688240354621	5.74692518395184	91.9766788465967	8.77039821466093e-22	9.82922447184909e-19
ID2	0.776127281863227	6.59669375815765	78.7400583780575	7.08443566271708e-19	7.27807690416468e-16
ACKR3	1.11479663510729	5.65107280402785	76.2369558150217	2.51589068778062e-18	2.38583849222765e-15
PCDH10	-0.844002683802115	8.06292651898368	74.5147708395661	6.01862635228615e-18	5.29983040507026e-15
SLC15A4	-4.41636292895295	2.17321978137467	72.8062549266196	1.43022848873338e-17	1.17545712060701e-14
PNCK	-0.906359674504567	5.63267736484407	67.7685998595462	1.83854233979383e-16	1.41659687281115e-13
NTS	5.96968438406123	4.27503626892615	63.628078300595	1.50271951850914e-15	1.08973683671651e-12
MPPED1	2.11321357088891	4.02577025439504	63.215581721505	1.85276940832344e-15	1.26894118143396e-12
RPRM	0.559821605288033	8.30635035327707	62.6554402157425	2.46223891812598e-15	1.59760428329774e-12
GLT1D1	-5.8889257921898	1.48851658669092	60.4446937126754	7.56750869572544e-15	4.66461236004516e-12
ARX	6.72707166779322	2.7480841685659	59.0374243542139	1.54701493911292e-14	9.08171436637336e-12
C11orf74	2.12816828083698	3.55112761955293	56.5410268387445	5.50379707325214e-14	3.08412774177511e-11
PCDHA5	-0.933898720908067	4.96941581980214	55.88240274528	7.69381505299199e-14	4.12388486840371e-11
