logFC	logCPM	LR	PValue	FDR
FOXG1	3.63070874038911	5.01680047333861	1951.66911423891	0	0
TMEM132D	-10.2273221588527	2.53371883366411	773.244106351223	3.54321599565719e-170	2.63083787677546e-166
SLC15A4	-3.98130457809163	2.88459009366291	758.997654199554	4.43611733084509e-167	2.19587807876832e-163
FEZF2	1.28066720417696	7.62602338004951	666.730390802679	5.13630919453261e-147	1.90685478847023e-143
C11orf74	3.29092973830998	3.51273183871902	633.822296388961	7.37073629209544e-140	2.18910867875235e-136
POU3F2	-0.751722927409694	7.89445233354527	571.428777456788	2.74485788691009e-126	6.79352327010246e-123
PCDHA2	-4.10721324638699	3.04316713441273	527.100254322535	1.20727847600073e-116	2.5611550526587e-113
WNT5B	1.10567784420381	5.39073686567171	514.049727495042	8.33905192554778e-114	1.54793651367981e-110
DMRTA1	1.08216595125655	6.33235625627772	424.309456272812	2.81483793975005e-94	4.64448260058757e-91
ZNF605	-1.00255679891043	5.11990658730234	406.586512262024	2.02844190294805e-90	3.01223622587786e-87
HIST3H2A	-1.00406175273998	5.34120540571603	352.920713257619	9.79761464535968e-79	1.32267797712356e-75
TXNIP	-0.654220701703043	9.46415013640553	346.938142095465	1.96748215803413e-77	2.43475917056724e-74
PAX3	-0.75813383720555	7.12834876161039	325.927077797126	7.41125445867056e-73	8.46593297778906e-70
LPAR1	0.826886166680689	5.82094705281283	323.27593039613	2.80119821800317e-72	2.97127096695336e-69
EMX1	3.93484002555919	2.35778494581619	299.220761491493	4.87014530901215e-67	4.82144385592203e-64
ALPL	1.16164734410812	6.10038112797829	296.515990660896	1.891621415885e-66	1.75566112661827e-63
PCDHA4	-0.797813568750778	6.41688377222449	292.557274284006	1.37834418880729e-65	1.20402418845814e-62
GLT1D1	-6.66058302401729	0.905372403975885	284.297969597744	8.68998603804964e-64	7.16923848139096e-61
HOXC6	6.48280696121252	1.54762339855568	272.621266674813	3.04526878733433e-61	2.38011797325867e-58
TFCP2	-0.805247662107195	6.04335154527725	252.373753171742	7.88768688691737e-57	5.85660751353614e-54
PLEKHD1	0.95437068660008	6.11351035385587	250.710347793479	1.81793485948348e-56	1.28553965063475e-53
IRX1	-0.529747855165269	7.22718438588023	249.619244152603	3.14375096455106e-56	2.12203190107197e-53
APOE	0.841115300162282	7.15417301025775	243.367650185056	7.25150770532379e-55	4.68195171408949e-52
F3	1.19658484749386	5.06557796165671	232.174972012105	1.99998596581434e-52	1.23749131634762e-49
DUSP6	0.960630522129112	6.95420069197733	228.452960503305	1.29637590251698e-51	7.70047286095087e-49
PCDHA3	-3.24743336224497	0.833146649236029	217.348850541232	3.42517291964478e-49	1.95630068679711e-46
ABHD6	0.757610820996668	5.09349932176429	212.738183852897	3.47128019374938e-48	1.90920410656216e-45
ARX	1.2391835388042	4.93551426083979	208.709433635133	2.62684740884081e-47	1.3931672864745e-44
MEX3B	-0.462812520484387	6.97812654652676	193.550933176397	5.33673635383124e-44	2.73277706394462e-41
HOXC10	5.56165397145134	0.687093704925447	192.013570258343	1.15564387338359e-43	5.72043717324879e-41
LMO2	1.02010456298303	6.16627503335031	189.127938851657	4.92816680187172e-43	2.3607508712192e-40
PCDHA5	-1.00837162053594	4.20721032983765	186.413879814308	1.92815515097961e-42	8.94784499751477e-40
